2022-03-21/09:02:05		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:02:09		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:02:12		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:02:14		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:02:19		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:02:21		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:02:24		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:02:40		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:02:43		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:02:56		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:03:00		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:03:04		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:03:06		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:03:17		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:03:44		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:09		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:13		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:14		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:14		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:14		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:14		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:14		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:14		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:14		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:14		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:14		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:14		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:14		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:14		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:14		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:14		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:14		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:15		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:15		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:15		 insurance_021119920_010222.csv: File loaded successfully!!
2022-03-21/09:06:15		 insurance_021119920_010222.csv: File loaded successfully!!
