2022-03-20/20:35:13		Error while creating table: unable to open database file 
2022-03-21/08:14:38		Tables created successfully!!
2022-03-21/08:20:41		Tables created successfully!!
2022-03-21/08:22:25		Tables created successfully!!
2022-03-21/08:40:56		Error while creating table: database disk image is malformed 
2022-03-21/08:45:08		Tables created successfully!!
2022-03-21/08:47:54		Tables created successfully!!
2022-03-21/08:48:18		Tables created successfully!!
2022-03-21/09:01:58		Tables created successfully!!
2022-03-21/09:10:07		Tables created successfully!!
2022-03-21/18:36:03		Tables created successfully!!
2022-03-21/18:37:30		Tables created successfully!!
2022-03-21/18:38:04		Tables created successfully!!
2022-03-21/18:39:06		Tables created successfully!!
2022-03-21/18:49:01		Tables created successfully!!
2022-03-21/18:57:17		Tables created successfully!!
2022-03-21/19:08:57		Tables created successfully!!
2022-03-22/12:46:34		Tables created successfully!!
2022-03-22/12:47:57		Tables created successfully!!
2022-03-23/11:35:23		Tables created successfully!!
2022-03-27/12:49:02		Tables created successfully!!
2022-03-27/12:49:21		Tables created successfully!!
2022-03-27/12:54:55		Tables created successfully!!
2022-03-27/13:07:18		Tables created successfully!!
2022-03-28/08:01:48		Tables created successfully!!
2022-03-28/08:07:09		Tables created successfully!!
2022-03-28/13:01:35		Tables created successfully!!
2022-03-28/13:32:29		Tables created successfully!!
2022-03-28/15:38:44		Tables created successfully!!
2022-03-28/15:53:52		Tables created successfully!!
2022-03-28/16:10:33		Tables created successfully!!
2022-03-28/16:38:17		Tables created successfully!!
2022-03-28/16:43:59		Tables created successfully!!
2022-03-28/16:47:37		Tables created successfully!!
2022-03-28/16:52:40		Tables created successfully!!
2022-03-28/16:56:55		Tables created successfully!!
2022-03-28/17:04:43		Tables created successfully!!
2022-03-28/17:48:27		Tables created successfully!!
2022-03-28/17:53:57		Tables created successfully!!
2022-03-28/18:00:49		Tables created successfully!!
2022-03-29/07:21:28		Tables created successfully!!
2022-03-29/08:56:31		Tables created successfully!!
2022-03-29/09:21:20		Tables created successfully!!
