2022-03-19/15:34:27		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-19/15:38:05		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-19/15:39:03		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-19/15:40:56		Data Transformation failed because:: 'RawValidation' object has no attribute 'goodDataPath'
2022-03-19/15:45:26		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-20/19:01:49		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-20/19:02:17		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-20/19:04:35		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-21/08:04:50		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-21/08:07:02		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-21/08:14:19		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-21/08:20:34		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-21/08:22:25		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-21/08:40:54		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-21/08:41:38		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-21/08:43:07		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-21/08:47:09		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-21/08:47:53		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-21/08:48:17		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-21/09:01:57		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-21/09:10:06		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-21/18:36:02		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-21/18:37:30		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-21/18:38:04		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-21/18:39:06		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-21/18:48:59		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-21/18:57:17		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-21/19:08:57		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-22/12:44:10		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-22/12:46:34		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-22/12:47:27		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-23/11:35:22		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-27/12:49:02		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-27/12:49:21		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-27/12:54:55		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-27/13:07:18		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-28/08:07:09		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-28/13:01:34		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-28/13:32:29		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-28/15:38:44		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-28/15:53:52		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-28/16:10:33		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-28/16:38:17		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-28/16:43:59		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-28/16:47:37		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-28/16:52:40		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-28/16:56:55		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-28/17:04:43		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-28/17:48:27		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-28/17:53:57		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-28/18:00:49		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-29/07:21:27		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-29/08:56:31		 insurance_021119920_010222.csv: Quotes added successfully!!
2022-03-29/09:21:20		 insurance_021119920_010222.csv: Quotes added successfully!!
